model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,4,42,128,0.7754946590011969
llama3.2:3b,CPU,4,42,128,2.459687305999978
llama3.2:3b,GPU,5,42,128,0.7737934440010577
llama3.2:3b,CPU,5,42,128,2.325176284999543
llama3.2:3b,GPU,1,44,128,0.8482212789986079
llama3.2:3b,CPU,1,44,128,3.0144891159998224
llama3.2:3b,GPU,2,44,128,0.7196576100013772
llama3.2:3b,CPU,2,44,128,6.839585916999567
llama3.2:3b,GPU,3,44,128,0.7281867069996224
llama3.2:3b,CPU,3,44,128,3.7753632879994257
llama3.2:3b,GPU,4,44,128,0.6901004619994637
llama3.2:3b,CPU,4,44,128,3.5697592630003783
llama3.2:3b,GPU,5,44,128,0.7754049649993249
llama3.2:3b,CPU,5,44,128,2.819598041000063
llama3.2:3b,GPU,1,46,128,0.8660180289989512
llama3.2:3b,CPU,1,46,128,3.4776761820012325
llama3.2:3b,GPU,2,46,128,0.8316278589991271
llama3.2:3b,CPU,2,46,128,3.984192253999936
llama3.2:3b,GPU,3,46,128,0.6718205110009876
llama3.2:3b,CPU,3,46,128,3.0355101749992173
llama3.2:3b,GPU,4,46,128,0.7731690969994816
llama3.2:3b,CPU,4,46,128,3.6511170379999385
llama3.2:3b,GPU,5,46,128,0.8424369280000974
llama3.2:3b,CPU,5,46,128,3.295915213000626
llama3.2:3b,GPU,1,48,128,0.791854537999825
llama3.2:3b,CPU,1,48,128,3.277222280999922
llama3.2:3b,GPU,2,48,128,0.727383376999569
llama3.2:3b,CPU,2,48,128,2.7153043079997587
llama3.2:3b,GPU,3,48,128,0.8510232080006972
llama3.2:3b,CPU,3,48,128,3.1035458490005112
llama3.2:3b,GPU,4,48,128,0.7921402390002186
llama3.2:3b,CPU,4,48,128,5.123063180000827
llama3.2:3b,GPU,5,48,128,0.6485696970012214
llama3.2:3b,CPU,5,48,128,3.655337717000293
llama3.2:3b,GPU,1,50,128,0.7343430769997212
llama3.2:3b,CPU,1,50,128,4.2144692780002515
llama3.2:3b,GPU,2,50,128,0.5779547530000855
llama3.2:3b,CPU,2,50,128,3.2980267470011313
llama3.2:3b,GPU,3,50,128,1.0748289359999035
llama3.2:3b,CPU,3,50,128,2.63877459700052
llama3.2:3b,GPU,4,50,128,0.754963596999005
llama3.2:3b,CPU,4,50,128,3.055191918001583
llama3.2:3b,GPU,5,50,128,0.720110279000437
llama3.2:3b,CPU,5,50,128,3.015263094999682
llama3.2:3b,GPU,1,52,128,0.6733622620013193
llama3.2:3b,CPU,1,52,128,3.609273641000982
llama3.2:3b,GPU,2,52,128,0.7965578780003852
llama3.2:3b,CPU,2,52,128,2.713719482999295
llama3.2:3b,GPU,3,52,128,0.8060146640000312
llama3.2:3b,CPU,3,52,128,2.719636788999196
llama3.2:3b,GPU,4,52,128,0.7898078440011886
llama3.2:3b,CPU,4,52,128,2.8221730759996717
llama3.2:3b,GPU,5,52,128,0.8024816600009217
llama3.2:3b,CPU,5,52,128,3.0813153550006973
llama3.2:3b,GPU,1,54,128,0.6924418819999119
llama3.2:3b,CPU,1,54,128,3.5647288320014923
llama3.2:3b,GPU,2,54,128,0.6811084310011211
llama3.2:3b,CPU,2,54,128,3.8733532420010306
llama3.2:3b,GPU,3,54,128,0.8584077669984254
llama3.2:3b,CPU,3,54,128,3.359464843999376
llama3.2:3b,GPU,4,54,128,0.7952204779994645
llama3.2:3b,CPU,4,54,128,3.697830035000152
llama3.2:3b,GPU,5,54,128,0.6752865510006814
llama3.2:3b,CPU,5,54,128,3.3793580620003922
llama3.2:3b,GPU,1,56,128,0.8175010819995805
llama3.2:3b,CPU,1,56,128,4.185155682998811
llama3.2:3b,GPU,2,56,128,0.6765877319994615
llama3.2:3b,CPU,2,56,128,3.6205516579993855
llama3.2:3b,GPU,3,56,128,0.7364386299996113
