model,run,words,model_size,CPU,GPU,speedup
llama3.1:8b,5,96,8b,1.841699118998804,0.4732622890005586,3.891497720826495
llama3.1:8b,5,98,8b,4.571473138999863,1.1037895129993558,4.141616753159469
llama3.2:3b,1,10,3b,2.0654428909983835,0.4846605940001609,4.2616274493273485
llama3.2:3b,1,12,3b,3.3789738599989505,2.256610930999159,1.4973666100708125
llama3.2:3b,1,14,3b,1.600089237001157,0.5908827349994681,2.7079641056064996
llama3.2:3b,1,16,3b,2.842802795999887,0.6167880000011792,4.609043619516677
llama3.2:3b,1,18,3b,2.998146707001069,0.6287076770004205,4.768745184256854
llama3.2:3b,1,20,3b,3.8165533100000175,0.7194747689991345,5.304638153342398
llama3.2:3b,1,22,3b,2.615686316999927,0.547646557999542,4.776230725441927
llama3.2:3b,1,24,3b,3.363612765000653,0.5954307820011309,5.649040772961356
llama3.2:3b,1,26,3b,3.35219624399906,1.5495453260009526,2.1633418447012236
llama3.2:3b,1,28,3b,2.9858638559999235,0.5684700830006477,5.252455573808132
llama3.2:3b,1,30,3b,3.5616526279991376,0.6346335639991594,5.612140343721019
llama3.2:3b,1,32,3b,2.868381488000523,0.7422717350000312,3.86432805231416
llama3.2:3b,1,34,3b,3.607515599000181,0.833767127000101,4.326766410160644
llama3.2:3b,1,36,3b,2.9444949770004314,0.8440954139987298,3.4883437679769957
llama3.2:3b,1,38,3b,3.1619504390000657,0.945169695000004,3.345378566120925
llama3.2:3b,1,40,3b,3.7176733249998506,0.846501261999947,4.391810729515585
llama3.2:3b,1,42,3b,3.7576737880008295,0.8531861310002569,4.404283721297033
llama3.2:3b,1,44,3b,3.0144891159998224,0.8482212789986079,3.553894709595902
llama3.2:3b,1,46,3b,3.4776761820012325,0.8660180289989512,4.015708756111178
llama3.2:3b,1,48,3b,3.277222280999922,0.791854537999825,4.138667045184815
llama3.2:3b,1,50,3b,4.214469278000252,0.7343430769997212,5.739101259344823
llama3.2:3b,1,52,3b,3.609273641000982,0.6733622620013193,5.36007710065865
llama3.2:3b,1,54,3b,3.5647288320014923,0.6924418819999119,5.148054912140548
llama3.2:3b,1,56,3b,4.185155682998811,0.8175010819995805,5.119449717133168
llama3.2:3b,1,58,3b,3.6934068680002383,0.7484731509994162,4.934588318991176
llama3.2:3b,1,60,3b,3.530762546000915,0.7583163590006734,4.656054830010307
llama3.2:3b,1,62,3b,3.6689466040006655,0.8429060809994553,4.352734766903451
llama3.2:3b,1,64,3b,2.9618626540013797,0.6605300999999599,4.484069165056308
llama3.2:3b,1,66,3b,3.679364322000765,0.7571605690009164,4.859424107168887
llama3.2:3b,1,68,3b,3.553227104999678,0.8048766209994938,4.414623325233736
llama3.2:3b,1,70,3b,3.756278894999923,0.9553370640005596,3.9318885831458985
llama3.2:3b,1,72,3b,3.9100863210005623,0.7852626889998646,4.979335419565867
llama3.2:3b,1,74,3b,3.477099638001164,0.6599082990014722,5.269064873502079
llama3.2:3b,1,76,3b,3.408871566000016,0.774890584001696,4.39916503875411
