backend,model_size,words,mean_sec,median_sec,min_sec,max_sec,std_sec,count,machine,test_name
CPU,3b,80,6.929161065164953,6.819656009785831,5.946102170739323,7.91859359620139,0.7479072670616097,5,Machine_B,Test9
CPU,3b,82,7.106870152335614,6.938409948721528,6.053737892769277,7.925525432918221,0.762704656660677,5,Machine_B,Test9
CPU,3b,84,6.430962509009987,6.387091874144971,5.516385124064982,7.72786391666159,0.9360512019828598,5,Machine_B,Test9
CPU,3b,86,6.408279982861131,6.402577464003116,5.690609790850431,6.84220242779702,0.4723454568302841,5,Machine_B,Test9
CPU,3b,88,6.763984911330044,6.412992755416781,5.969260884914547,7.68596591707319,0.723400755680909,5,Machine_B,Test9
CPU,3b,90,9.293805528152735,6.8433489999733865,5.507872128859162,14.26540318178013,4.5567862432302055,5,Machine_B,Test9
CPU,3b,92,6.567983571346849,6.57940569287166,6.397271518129855,6.841341860126704,0.1835761456400073,5,Machine_B,Test9
CPU,3b,94,7.675973909348249,6.85851002857089,6.840626946184784,10.824381285812706,1.7615370094226805,5,Machine_B,Test9
CPU,3b,96,6.71204298529774,6.842975144274533,6.1914241630584,7.056648781057447,0.32966071327624863,5,Machine_B,Test9
CPU,3b,98,7.705463359411806,6.855661909095943,6.51510615600273,11.269087391905488,2.001105146454371,5,Machine_B,Test9
CPU,8b,10,8.15691421525553,7.6540814358741045,3.56251085922122,13.72742177080363,4.416767645340975,10,Machine_B,Test9
CPU,8b,12,5.688823405094444,3.3632504735141993,0.7570054442621768,14.134025915060192,4.815207082248742,10,Machine_B,Test9
CPU,8b,14,8.82217149315402,9.316545065492392,1.510285850148648,13.78386014699936,3.274684764632275,10,Machine_B,Test9
CPU,8b,16,5.921231503598392,4.148544226074591,1.4129915302619338,13.81397264264524,4.214698605516399,10,Machine_B,Test9
CPU,8b,18,6.625282644620166,4.679815190611407,2.986159058753401,14.07818349590525,4.089741825228822,10,Machine_B,Test9
CPU,8b,20,11.481426544953138,13.069337900960818,4.444976428057998,22.67789009399712,5.725312723925292,10,Machine_B,Test9
CPU,8b,22,7.975755626568571,7.053459703922272,2.069120856933296,14.168555041775107,4.795402741520369,10,Machine_B,Test9
CPU,8b,24,8.680048032756895,7.693064053542912,3.371257979888469,13.86692857183516,4.28087060738386,10,Machine_B,Test9
CPU,8b,26,10.583231995627283,11.412774993106723,2.0832210928201675,14.200481593143197,3.997962842218432,10,Machine_B,Test9
CPU,8b,28,9.94737013122067,11.823255102382973,3.369446930009872,14.42881186120212,4.7154247783282095,10,Machine_B,Test9
CPU,8b,30,8.477777598472311,9.710031960625201,1.9507355974055829,14.844326976686716,4.743499454294566,10,Machine_B,Test9
CPU,8b,32,7.18208635430783,4.767457244219258,3.365572757087648,14.238626600243151,4.548345402751583,10,Machine_B,Test9
CPU,8b,34,6.181571936933324,5.0965951681137085,2.0743699530139565,13.981861441861838,4.474989268696698,10,Machine_B,Test9
CPU,8b,36,7.787861751997843,7.496198633918539,2.074998897034675,14.269213905092329,4.582070390538047,10,Machine_B,Test9
CPU,8b,38,7.876079364866018,7.54805038147606,2.069509136956185,14.001240076031536,4.896871283678624,10,Machine_B,Test9
CPU,8b,40,8.460327394632623,8.043542066356167,2.071619345806539,14.023446809034796,4.341804673623451,10,Machine_B,Test9
CPU,8b,42,11.747990896180273,12.266416563652456,7.925708997994661,14.367546856869012,2.571641299935321,10,Machine_B,Test9
CPU,8b,44,9.341201827954501,8.25747002242133,6.10638471134007,14.005445210263131,2.9718633543779767,10,Machine_B,Test9
CPU,8b,46,11.148556859511881,11.540511482162401,7.498571577016264,14.427497607190162,3.1822672901510667,10,Machine_B,Test9
CPU,8b,48,10.099615993490442,8.893093033926561,7.490491063799709,14.419448470231146,2.9530316881772136,10,Machine_B,Test9
CPU,8b,50,10.98755361000076,11.11194702098146,7.500342911109328,14.42560983914882,3.3627534862709205,10,Machine_B,Test9
CPU,8b,52,11.681521480437368,13.973539177561179,7.513275871984661,14.458739317022264,3.1845398776792626,10,Machine_B,Test9
CPU,8b,54,10.41504295472987,10.648676892509684,2.520931131206453,14.469591916073114,4.138592242730608,10,Machine_B,Test9
CPU,8b,56,9.109843114158139,8.3245107405819,2.0702895764261484,14.47756247362122,4.556844827381757,10,Machine_B,Test9
CPU,8b,58,11.135007040342316,11.017154465895146,8.146754138171673,14.2082239119336,2.8797237683996357,10,Machine_B,Test9
CPU,8b,60,9.500223227590322,11.063940377440304,2.075914905872196,14.510551190935075,5.356963698709662,10,Machine_B,Test9
CPU,8b,62,8.777125505870208,10.860031108139083,2.0789903569966555,14.573483132757246,6.034124364349799,10,Machine_B,Test9
CPU,8b,64,10.686183248460292,11.398751593893394,3.600277505349368,14.557714295573533,4.033660960249122,10,Machine_B,Test9
