model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,4,58,128,0.6253756480000447
llama3.2:3b,CPU,4,58,128,2.3508463250000204
llama3.2:3b,GPU,5,58,128,0.5514433660000577
llama3.2:3b,CPU,5,58,128,2.2023474800002987
llama3.2:3b,GPU,1,60,128,0.5575293860001693
llama3.2:3b,CPU,1,60,128,2.443935139000132
llama3.2:3b,GPU,2,60,128,0.5540582359999462
llama3.2:3b,CPU,2,60,128,2.3887696179999693
llama3.2:3b,GPU,3,60,128,0.5528885720000289
llama3.2:3b,CPU,3,60,128,2.3282395850001194
llama3.2:3b,GPU,4,60,128,0.5496542790001513
llama3.2:3b,CPU,4,60,128,2.1967592430000877
llama3.2:3b,GPU,5,60,128,0.5538367660001313
llama3.2:3b,CPU,5,60,128,2.367405358999804
llama3.2:3b,GPU,1,62,128,0.8271656249999069
llama3.2:3b,CPU,1,62,128,2.453300184999989
llama3.2:3b,GPU,2,62,128,0.7316614009996556
llama3.2:3b,CPU,2,62,128,2.2352620030001162
llama3.2:3b,GPU,3,62,128,0.5588628200002859
llama3.2:3b,CPU,3,62,128,2.382656967999992
llama3.2:3b,GPU,4,62,128,0.5776640879998922
llama3.2:3b,CPU,4,62,128,2.38462391100029
llama3.2:3b,GPU,5,62,128,0.574713974000133
llama3.2:3b,CPU,5,62,128,2.186359997999716
llama3.2:3b,GPU,1,64,128,0.5185731280002983
llama3.2:3b,CPU,1,64,128,2.418123770999955
llama3.2:3b,GPU,2,64,128,1.0460750769998413
llama3.2:3b,CPU,2,64,128,2.2998917059999258
llama3.2:3b,GPU,3,64,128,0.5529156630000216
llama3.2:3b,CPU,3,64,128,2.8899291249999806
llama3.2:3b,GPU,4,64,128,0.551684724000097
llama3.2:3b,CPU,4,64,128,2.184482004000074
llama3.2:3b,GPU,5,64,128,0.5049499520000609
llama3.2:3b,CPU,5,64,128,1.8583472620002794
llama3.2:3b,GPU,1,66,128,1.0301096569996844
llama3.2:3b,CPU,1,66,128,2.3444910460002575
llama3.2:3b,GPU,2,66,128,0.5323540429999412
llama3.2:3b,CPU,2,66,128,3.008692265999798
llama3.2:3b,GPU,3,66,128,0.4752926850001131
llama3.2:3b,CPU,3,66,128,2.556029044999832
llama3.2:3b,GPU,4,66,128,0.5930322479998722
llama3.2:3b,CPU,4,66,128,2.605384476999916
llama3.2:3b,GPU,5,66,128,0.5559389760001068
llama3.2:3b,CPU,5,66,128,2.6024532689998523
llama3.2:3b,GPU,1,68,128,0.7677469750001364
llama3.2:3b,CPU,1,68,128,2.6044945219996407
llama3.2:3b,GPU,2,68,128,1.0461902659999396
llama3.2:3b,CPU,2,68,128,3.7197767980001117
llama3.2:3b,GPU,3,68,128,1.0480926660002297
llama3.2:3b,CPU,3,68,128,4.841600576000019
llama3.2:3b,GPU,4,68,128,0.562707367999792
llama3.2:3b,CPU,4,68,128,4.84873461899997
llama3.2:3b,GPU,5,68,128,0.5407126239997524
llama3.2:3b,CPU,5,68,128,2.3468778340002245
llama3.2:3b,GPU,1,70,128,0.37443318400028147
llama3.2:3b,CPU,1,70,128,3.7948899049997635
llama3.2:3b,GPU,2,70,128,0.3674707350000972
llama3.2:3b,CPU,2,70,128,2.413571585000227
llama3.2:3b,GPU,3,70,128,0.595017475000077
llama3.2:3b,CPU,3,70,128,2.375145771000007
llama3.2:3b,GPU,4,70,128,0.41242722099968887
llama3.2:3b,CPU,4,70,128,2.3785920539999097
llama3.2:3b,GPU,5,70,128,0.351090509000187
llama3.2:3b,CPU,5,70,128,2.379951096000241
llama3.2:3b,GPU,1,72,128,0.5517162690002806
llama3.2:3b,CPU,1,72,128,3.8425211460003084
llama3.2:3b,GPU,2,72,128,0.5519454289997157
llama3.2:3b,CPU,2,72,128,2.3431103530001565
llama3.2:3b,GPU,3,72,128,0.9710286539998378
llama3.2:3b,CPU,3,72,128,2.1966912519997095
llama3.2:3b,GPU,4,72,128,0.6745015219999004
llama3.2:3b,CPU,4,72,128,2.159302144999856
llama3.2:3b,GPU,5,72,128,0.5266063899998699
llama3.2:3b,CPU,5,72,128,2.5697439419996044
llama3.2:3b,GPU,1,74,128,0.5911516930000289
llama3.2:3b,CPU,1,74,128,3.0621193400002085
llama3.2:3b,GPU,2,74,128,0.554419358999894
llama3.2:3b,CPU,2,74,128,4.859717414999977
llama3.2:3b,GPU,3,74,128,0.4631295169997429
llama3.2:3b,CPU,3,74,128,2.2026340659999732
llama3.2:3b,GPU,4,74,128,0.4570582609999292
llama3.2:3b,CPU,4,74,128,2.386609538999892
llama3.2:3b,GPU,5,74,128,0.5340632570000707
llama3.2:3b,CPU,5,74,128,2.2728835699999763
llama3.2:3b,GPU,1,76,128,1.0538897390001694
llama3.2:3b,CPU,1,76,128,2.421610157000032
llama3.2:3b,GPU,2,76,128,0.5980805720000717
llama3.2:3b,CPU,2,76,128,3.217166554999949
llama3.2:3b,GPU,3,76,128,0.6231854980001117
llama3.2:3b,CPU,3,76,128,2.8028616889996556
llama3.2:3b,GPU,4,76,128,1.05022873300004
llama3.2:3b,CPU,4,76,128,4.862656465999862
llama3.2:3b,GPU,5,76,128,0.6062407000003986
llama3.2:3b,CPU,5,76,128,2.3065681180000865
llama3.2:3b,GPU,1,78,128,0.5995737869998266
llama3.2:3b,CPU,1,78,128,5.060729610999715
llama3.2:3b,GPU,2,78,128,0.5087593650000599
